"","link","page","ad_url","ad_number","text","title","price","n_photos","n_views","ad_date","seller_name","location","seller_age","n_all_time_ads","n_active_ads","scrape_time","province","type"
"1","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/491214/road-bikes-for-sale",1,NA,NA,NA,NA,"NA for bikehub",NA,NA,NA,NA,NA,NA,NA,"NA","road bikes"
"2","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/triathlon-and-time-trial-bikes/40784/swift-carbon-neurogen-timetrial-bike-large",3,"Your payment is held securely until you receive the goods.Info box: Frame & Fork Swift Carbon Neurogen with Integrated Fork Front Derailleur Sram Force Groupset Rear Derailleur Sram Force Groupset Shifters Sram TT 900 Shifters & Break Levers Crankset SRAM Red Powerglide Cassette Sram Force Groupset Brakes TRP TT Integrated V-brake Wheels Easton EA70 Wheels Tyres Continental Gatorskin Handlebar Integrated Neurogen Carbon Handlebar Saddle Prologo NAGO EVO TTR Pedals Look","Swift Carbon Neurogen TimeTrial Bike (Large)",29000,5,"NA for bikehub",NA,"Swift Carbon Neurogen TimeTrial Bike (Large) Western Cape, Cape Town, Foreshore used R 29,000 Insure from R 48.69 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Gabriel Wessels ","Swift Carbon Neurogen TimeTrial Bike (Large) Western Cape, Cape Town, Foreshore used R 29,000 Insure from R 48.69 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Gabriel Wessels ",NA,1,1,"2021-09-06 12:21:37","Western Cape","triathlon and time trial bikes"
"3","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/493561/colnago-v2-r",4,"Your payment is held securely until you receive the goods.Info box: Frame & Fork Colnago Front Derailleur Campagnolo Super Record Rear Derailleur Campagnolo Super Record Shifters Campagnolo Super Record Crankset Campagnolo Super Record Cassette Campagnolo Chain Campagnolo Brakes Colnago Direct Mount Wheels Roval Rapide CLX 40 with Ceramic Bearings Tyres Specialized SWORKS Stem SWORKS Handlebar SWORKS Carbon Seatpost Colnago Saddle SWORKS Power Pedals N/A","Colnago V2-R",78000,13,"NA for bikehub",NA,"Colnago V2-R Western Cape, Blouberg used R 78,000 Insure from R 130.96 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Bicycle Studio Dealer / business user ","Colnago V2-R Western Cape, Blouberg used R 78,000 Insure from R 130.96 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Bicycle Studio Dealer / business user ",NA,2,2,"2021-09-06 12:21:39","Western Cape","road bikes"
"4","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/493561/colnago-v2-r",4,"Dealer / business userInfo box: Frame & Fork Colnago Front Derailleur Campagnolo Super Record Rear Derailleur Campagnolo Super Record Shifters Campagnolo Super Record Crankset Campagnolo Super Record Cassette Campagnolo Chain Campagnolo Brakes Colnago Direct Mount Wheels Roval Rapide CLX 40 with Ceramic Bearings Tyres Specialized SWORKS Stem SWORKS Handlebar SWORKS Carbon Seatpost Colnago Saddle SWORKS Power Pedals N/A","Colnago V2-R",78000,13,"NA for bikehub",NA,"Colnago V2-R Western Cape, Blouberg used R 78,000 Insure from R 130.96 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Bicycle Studio Dealer / business user ","Colnago V2-R Western Cape, Blouberg used R 78,000 Insure from R 130.96 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Bicycle Studio Dealer / business user ",NA,2,2,"2021-09-06 12:21:39","Western Cape","road bikes"
"5","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/triathlon-and-time-trial-bikes/490226/felt-tt-bike",11,"Your payment is held securely until you receive the goods.Info box: Frame & Fork Felt Carbon frame Front Derailleur Ultegra Rear Derailleur Ultegra Shifters Vision Crankset TT MAX with Vision Chainring 52T Cassette Shimano Ultegra Chain Shimano Brakes Vision Wheels Alloy Tyres Conti Gatorskins Stem Vision Handlebar Vision Seatpost Felt Carbon integrated Saddle Prologo 40 Pedals Non","Felt TT Bike",22000,8,"NA for bikehub",NA,"Felt TT Bike Eastern Cape, Port Alfred, Bryanston used R 22,000 Insure from R 36.94 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: TheVelo (8 Reviews) ","Felt TT Bike Eastern Cape, Port Alfred, Bryanston used R 22,000 Insure from R 36.94 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: TheVelo (8 Reviews) ",NA,218,3,"2021-09-06 12:21:48","Eastern Cape","triathlon and time trial bikes"
"6","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/hardtail-mountain-bikes/497102/scott-scale-720plus",13,"Your payment is held securely until you receive the goods.Info box: Frame Scott Fork SR Rear Derailleur Gx eagle 🦅 Shifters Gx eagle 🦅 Crankset Gx eagle 🦅 Cassette Sunrace Chain Gx eagle 🦅 Brakes Shimano Wheels Syncros Tyres Maxxis Stem Syncros Handlebar Syncros Seatpost Syncros Saddle Syncros Pedals Shimano","Scott Scale 720plus",22500,1,"NA for bikehub",NA,"Scott Scale 720plus Northern Cape, Upington, Keidebees used R 22,500 Insure from R 37.78 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Erich Smith ","Scott Scale 720plus Northern Cape, Upington, Keidebees used R 22,500 Insure from R 37.78 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Erich Smith ",NA,1,1,"2021-09-06 12:21:51","Northern Cape","hardtail mountain bikes"
"7","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/dual-suspension-bikes/497080/26-giant-anthem-x1",14,"Your payment is held securely until you receive the goods.Info box: Frame Aluminum Fork Fox Rear Shock Fox Float RP2 Front Derailleur Shimano XT Rear Derailleur Shimano Deore XT Shifters Shimano Deore XT Crankset Shimano SLX Cassette Shimano Chain Shimano Brakes Elixir Wheels Mavic 819 Disc Tyres Maxxis Lust tubeless Stem Raceface Seatpost Raceface Saddle WTB Pedals -","26"" Giant Anthem X1",6500,6,"NA for bikehub",NA,"26"" Giant Anthem X1 Gauteng, Roodepoort, Weltevreden Park used R 6,500 Insure from R 10.91 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: WNiemandt ","26"" Giant Anthem X1 Gauteng, Roodepoort, Weltevreden Park used R 6,500 Insure from R 10.91 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: WNiemandt ",NA,2,2,"2021-09-06 12:21:52","Gauteng","dual suspension bikes"
"8","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/dual-suspension-bikes/497077/merida-one-twenty-26",15,"Your payment is held securely until you receive the goods.Info box: Frame Aluminium Fork Manitou Rear Shock SA Suntour Epicon Front Derailleur Shimano Rear Derailleur Shimano Shifters Shimano Crankset Shimano Cassette Shimano Chain Shimano Brakes Shimano Wheels Alexrims Tyres Geax Barro/CST Stem Merida Handlebar Merida Seatpost Merida Saddle Merida Pedals Flat Pedals","Merida One Twenty 26""",7000,2,"NA for bikehub",NA,"Merida One Twenty 26"" KwaZulu-Natal, Ballito used R 7,000 Insure from R 11.75 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Chad Germanus ","Merida One Twenty 26"" KwaZulu-Natal, Ballito used R 7,000 Insure from R 11.75 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Chad Germanus ",NA,1,1,"2021-09-06 12:21:54","KwaZulu-Natal","dual suspension bikes"
"9","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/497075/specialized-allez-e5-slx",16,"Your payment is held securely until you receive the goods.Info box: Frame & Fork Al & Carbon Front Derailleur Veloce Rear Derailleur Veloce 9 speed Wheels Fulcrim Racing Comp Tyres Continental GatorSkin Stem Ritchey Handlebar eda Saddle Fizik Pedals Shimano","Specialized Allez E5 SLX",5000,5,"NA for bikehub",NA,"Specialized Allez E5 SLX Gauteng, Roodepoort, Weltevreden Park used R 5,000 Insure from R 8.4 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: WNiemandt ","Specialized Allez E5 SLX Gauteng, Roodepoort, Weltevreden Park used R 5,000 Insure from R 8.4 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: WNiemandt ",NA,2,2,"2021-09-06 12:21:55","Gauteng","road bikes"
"10","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/tandem-road-bikes/484867/exocet-tandem-lm",19,"Your payment is held securely until you receive the goods.Info box: Front Derailleur Shimano Rear Derailleur Shimano XT Shifters Shimano Crankset FSA Cassette Shimano 28/11 Tyres Continental Ultra Sport Handlebar Carbon","Exocet tandem L/M",7000,5,"NA for bikehub",NA,"Exocet tandem L/M KwaZulu-Natal, Newcastle used R 7,000 Insure from R 11.75 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Rooi Vlam (1 Review) ","Exocet tandem L/M KwaZulu-Natal, Newcastle used R 7,000 Insure from R 11.75 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Rooi Vlam (1 Review) ",NA,59,1,"2021-09-06 12:21:59","KwaZulu-Natal","tandem road bikes"
